Industry,Primary Hue Direction,Emotional Association,Secondary/Accent,Avoid Hue,Contrast Note,Cultural Caveat,Archetype Fit
Finance/Banking,Deep blue - signals trust and stability,trust; stability; authority; confidence,Gold or dark teal as accent,Bright orange - reads as frivolous or discount brand,Navy on white passes AA; mid-blue on grey often fails - verify ratio,Red = luck in China so avoid framing red as a warning only,Ruler
Healthcare,Clean blue or teal - clinical confidence without coldness,care; cleanliness; calm; hope,White or soft green,Red for non-emergency UI - raises false alarm signals,Pastel teal on white can fail AA at small sizes - darken text tones,Green = illness in some Middle Eastern contexts - prefer blue,Caregiver
Technology/SaaS,Blue to indigo spectrum - innovative yet dependable,innovation; intelligence; clarity; speed,Electric blue or violet accent,Muddy brown - evokes outdated legacy software,High-contrast dark mode is common - ensure 4.5:1 on both light and dark backgrounds,Purple = mourning in some Latin American cultures - use sparingly,Magician
Food and Beverage,Warm red-orange - stimulates appetite and energy,appetite; warmth; energy; playfulness,Yellow or earthy brown,Cool grey-blue - suppresses appetite and feels clinical,Saturated warm tones on white are typically safe - watch yellow text legibility,White plates in photography read as sterile in some South Asian feast contexts,Jester
Beauty/Cosmetics,Dusty rose to nude blush - softness and sensuality,elegance; softness; femininity; desire,Gold or matte black for premium tier,Harsh neon green - clashes with skin-tone imagery,Low-contrast nude palettes fail AA on white - always pair with dark text overlay,Pink = masculine in some historical European contexts - research target market,Lover
Luxury,Black anchored by deep navy or charcoal - exclusivity,prestige; exclusivity; sophistication; desire,Gold or champagne as sole accent,Bright primary red - reads mass-market or sale-driven,Black backgrounds with gold text often miss 3:1 - test; consider off-white on black,Gold = vulgarity in some Northern European minimalist cultures,Ruler
Children/Education,Bright primary hues - yellow; red; blue with high chroma,joy; curiosity; safety; playfulness,Complementary secondary primaries,Black as dominant - feels heavy and scary for young audiences,High chroma on white generally passes AA but verify yellow text on white,Red = danger signal universally; balance with friendlier primaries,Innocent
Eco/Sustainability,Natural mid-green grounded with earthy brown or beige,nature; honesty; renewal; responsibility,Warm tan or sky blue accent,Neon or synthetic-feeling fluorescents - undermine authenticity,Mid-green on white passes AA at normal weights - avoid light sage for body text,Green = environment globally but also envy; pair with earth tones to anchor meaning,Explorer
Fitness/Sports,Bold red-orange or electric blue - energy and motion,energy; power; determination; vitality,Black or white for contrast,Pastel lavender - reads too gentle for performance context,High-saturation colours on dark backgrounds need 4.5:1; test contrast on product imagery,Red = aggression risk in some East Asian performance contexts - balance with neutral,Hero
Legal/Professional Services,Charcoal navy or deep green - authority without aggression,authority; reliability; tradition; gravitas,Muted gold or warm grey,Bright playful yellows - undermine gravitas and formal trust signals,Dark navy on dark grey fails AA - always use white or near-white for text,Black = formality in West but mourning in East Asia - soften with navy for global brands,Ruler
Travel/Hospitality,Sky blue to teal - freedom and escape,freedom; adventure; relaxation; wonder,Warm sand or coral accent,Industrial grey - negates escapism and wanderlust,Teal on white passes AA at bold sizes; mid-weight teal on white needs darkening,Blue = sadness in some European idioms; balance with warm accent to ensure positivity,Explorer
Fashion,Variable - season-driven but often neutral black or seasonal accent hue,desirability; individuality; status; creativity,Seasonal accent per collection,Dated neon from prior decades unless intentional retro signal,Editorial black-on-white is high contrast and safe; low-contrast grey-on-grey is decorative only,White = purity in West but mourning in parts of East and South Asia - verify market,Creator
Nonprofit/Charity,Warm green or hopeful blue - optimism and humanity,compassion; hope; community; trust,Warm orange or yellow for calls to action,Cold corporate navy alone - can feel institutional and distant,Ensure CTA orange or yellow meets 3:1 against adjacent background for UI elements,Red = blood or danger in fundraising imagery - use carefully; prefer orange for urgency,Caregiver
