class,name,ref_count,last_modified,bloat_candidate,notes
command,agent-handoff,68,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agent-handoff.md
command,agent-status,90,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agent-status.md
command,agents,8318,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents.md
command,agents:audit,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/audit.md
command,agents:init,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/init.md
command,agents:optimize,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/optimize.md
command,agents:user,52,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/user.md
command,agents:user:accept,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/user/accept.md
command,agents:user:init,6,2026-05-27,N,packages/core/.agent-src.uncondensed/commands/agents/user/init.md
command,agents:user:review,0,2026-05-26,Y,packages/core/.agent-src.uncondensed/commands/agents/user/review.md
command,agents:user:show,0,2026-05-27,Y,packages/core/.agent-src.uncondensed/commands/agents/user/show.md
command,agents:user:update,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/agents/user/update.md
command,analytics,551,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/analytics.md
command,analytics:prune,3,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/analytics/prune.md
command,analytics:show,11,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/analytics/show.md
command,analyze-reference-repo,64,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/analyze-reference-repo.md
command,bug-fix,74,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/bug-fix.md
command,bug-investigate,66,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/bug-investigate.md
command,challenge-me,217,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/challenge-me.md
command,challenge-me:vision,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/challenge-me/vision.md
command,challenge-me:with-docs,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/challenge-me/with-docs.md
command,chat-history,1204,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/chat-history.md
command,chat-history:import,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/chat-history/import.md
command,chat-history:learn,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/chat-history/learn.md
command,chat-history:show,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/chat-history/show.md
command,check-current-md,24,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/check-current-md.md
command,commit,8214,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/commit.md
command,commit:in-chunks,37,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/commit/in-chunks.md
command,condense,12304,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/condense.md
command,context,31883,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/context.md
command,context:create,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/context/create.md
command,context:refactor,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/context/refactor.md
command,cost-report,38,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/cost-report.md
command,council,5539,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council.md
command,council:analysis,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/analysis.md
command,council:debate,10,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/debate.md
command,council:default,7,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/default.md
command,council:design,5,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/design.md
command,council:optimize,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/optimize.md
command,council:pr,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/council/pr.md
command,create-pr,467,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/create-pr.md
command,create-pr:description-only,41,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/create-pr/description-only.md
command,e2e-heal,33,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/e2e-heal.md
command,e2e-plan,35,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/e2e-plan.md
command,estimate-ticket,142,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/estimate-ticket.md
command,feature,3928,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature.md
command,feature:dev,9,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature/dev.md
command,feature:explore,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature/explore.md
command,feature:plan,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature/plan.md
command,feature:refactor,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature/refactor.md
command,feature:roadmap,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/feature/roadmap.md
command,fix,25591,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix.md
command,fix:ci,9,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/ci.md
command,fix:portability,4,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/portability.md
command,fix:pr-bot-comments,6,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/pr-bot-comments.md
command,fix:pr-comments,12,2026-05-26,N,packages/core/.agent-src.uncondensed/commands/fix/pr-comments.md
