class,field,total,distinct,dominant_value,dominant_share,bloat_candidate
command,type,21,1,orchestrator,100.00%,Y
command,council_depth,4,1,deep,100.00%,N
command,framework,4,1,laravel,100.00%,N
command,suggestion.eligible,135,2,true,81.48%,N
command,tier,135,3,2,74.81%,N
command,personas,4,3,"[hollywood-director, ai-video-technical-director]",50.00%,N
command,suggestion.rationale,25,20,"""Package-internal — only the event4u/agent-config repo runs …",16.00%,N
command,cluster,105,24,agents,9.52%,N
command,skills,106,60,[file-editor],9.43%,N
command,sub,79,64,user,7.59%,N
command,suggestion.trigger_context,110,109,"""user has a fuzzy plan/idea/feature draft and wants it sharp…",1.82%,N
command,suggestion.trigger_description,110,110,"""check this session's token cost, see budget utilization, su…",0.91%,N
command,name,135,135,cost-report,0.74%,N
command,description,135,135,"Capture token cost from the active Claude Code session, appe…",0.74%,N
persona,source,6,1,package,100.00%,N
persona,council_advisor,5,1,true,100.00%,N
persona,version,7,2,"""1.0""",85.71%,N
persona,tier,30,2,specialist,83.33%,N
persona,wing,8,2,3,50.00%,N
persona,mode,30,5,reviewer,40.00%,N
persona,id,30,30,backend-architect,3.33%,N
persona,role,30,30,Backend Architect,3.33%,N
persona,description,30,30,"""The voice that watches service-layer boundaries — module se…",3.33%,N
rule,validator_ignore.- type,14,1,"""substring""",100.00%,Y
rule,"routes_to.- ""command",1,1,"set-cost-profile""",100.00%,N
rule,lifecycle,1,1,experimental,100.00%,N
rule,trust.level,1,1,experimental,100.00%,N
rule,trust.confidence,1,1,medium,100.00%,N
rule,install.removable,1,1,true,100.00%,N
rule,triggers.- file_pattern,1,1,"""*.md""",100.00%,N
rule,council_depth,2,1,deep,100.00%,N
rule,triggers.- command,1,1,"""/roadmap:process-full""",100.00%,N
rule,validator_ignore.- type.pattern,14,4,""".agent-src.uncondensed/""",78.57%,N
rule,type,72,4,"""auto""",76.39%,N
rule,alwaysApply,37,2,false,72.97%,N
rule,tier,72,6,"""2a""",37.50%,N
rule,"routes_to.- ""guideline",4,4,"agent-infra/skill-quality-checklist""",25.00%,N
rule,"routes_to.- ""contract",4,4,"command-suggestion-flow""",25.00%,N
rule,triggers.- path_prefix,15,14,""".agent-src.uncondensed/skills/""",13.33%,N
rule,validator_ignore.- type.reason,14,14,"""Rule documents the source-of-truth boundary; mentioning the…",7.14%,N
rule,"routes_to.- ""skill",20,20,"existing-ui-audit""",5.00%,N
rule,triggers.- keyword,49,48,"""composer""",4.08%,N
rule,triggers.- phrase,25,25,"""after completing""",4.00%,N
rule,triggers.- intent,28,28,"""mode marker""",3.57%,N
rule,description,72,72,"""When roles.active_role is set — closing outputs must match …",1.39%,N
skill,execution.type,26,1,assisted,100.00%,Y
skill,source,3,1,project,100.00%,N
skill,status,9,1,active,100.00%,N
skill,tier,5,1,senior,100.00%,N
skill,framework,3,1,laravel,100.00%,N
skill,council_depth,4,1,deep,100.00%,N
skill,meta_skill,2,1,true,100.00%,N
skill,external_source,1,1,"""https://github.com/ginobefun/deep-reading-analyst-skill/tre…",100.00%,N
skill,execution.allowed_tools,26,3,[],88.46%,N
skill,execution.handler,26,2,internal,69.23%,N
skill,execution.timeout_seconds,4,3,30,50.00%,N
skill,context_spine,4,3,"[regulatory-regime, customer-segment, product]",50.00%,N
skill,domain,129,6,process,44.96%,N
skill,refresh_trigger,3,3,"""≥30% of cited upstream pattern catalogues become deprecated…",33.33%,N
skill,sunset_criterion,3,3,"""When the upstream framework docs (Laravel, FastAPI, Express…",33.33%,N
skill,recommended_for_user_types,10,7,[developer],20.00%,N
skill,name,129,129,copilot-config,0.78%,N
skill,description,129,129,"""Tune the GitHub Copilot AI — `copilot-instructions.md`, PR-…",0.78%,N
