Archetype,Industry Examples,Pairing Filter,Heading Class,Body Class,Mood,Rationale,Confidence,Evidence Gap
Ruler,"law firm, legal, finance, private bank, luxury, institution","serif heading + serif or neutral-sans body (old-style or transitional serif; Didone for luxury)",old-style or transitional serif,transitional serif or neutral grotesque,"authoritative, established, premium","Serifs signal tradition, trust and institutional permanence — the dominant convention in legal and financial identity.",high,"Serif convention is Western-print-rooted; verify legibility and tone for non-Latin scripts."
Sage,"research, education, journalism, consultancy, think tank","serif heading + humanist-sans body, or an all-serif editorial pairing",transitional serif,humanist sans or a readable serif,"credible, considered, long-form","Editorial serif pairings read as authoritative and support sustained reading.",high,"Screen-first products may prefer a high-legibility sans body over a serif."
Magician,"SaaS, AI, beauty-tech, immersive experiences","geometric-sans heading + neutral-sans body",geometric or elegant sans,neutral grotesque,"modern, transformative","Geometric sans reads as forward-looking and clean, matching a transformation promise.",medium,"Geometric sans is over-used in tech; differentiate via weight, tracking and a distinctive display cut."
Hero,"sports, fitness, automotive, defense","condensed grotesque heading + neutral-sans body, italic display accent",condensed grotesque,neutral sans,"bold, dynamic, performant","Condensed weights compress energy and read as athletic and decisive.",high,"Condensed faces lose legibility at small sizes and tight measures."
Everyman,"retail, FMCG, community, marketplaces","humanist-sans heading + humanist-sans body",humanist sans,humanist sans,"approachable, fair, everyday","Humanist sans feels friendly and unpretentious — the right register for mass appeal.",high,"Risk of generic default-sans sameness; add a small distinctive detail."
Caregiver,"healthcare, childcare, nonprofit, wellness","soft humanist-sans heading + humanist-sans body, rounded optional",soft humanist sans,humanist sans,"reassuring, gentle, human","Soft humanist forms read as warm and safe without losing professionalism.",medium,"Rounded faces can read juvenile in clinical or regulated contexts."
Outlaw,"challenger brands, streetwear, counterculture","heavy grotesque or brutalist display heading + neutral-sans body",heavy grotesque or brutalist display,neutral sans,"disruptive, raw, high-impact","High-impact display signals rule-breaking and stands out against polished incumbents.",medium,"Display-heavy systems fail accessibility at body sizes; constrain to headlines."
Lover,"beauty, fashion, hospitality, fragrance","high-contrast serif (Didone) heading + humanist-sans body, optional script accent",high-contrast Didone serif,humanist sans,"sensual, elegant, indulgent","High-contrast serifs read as refined and desirable, central to beauty and fashion identity.",high,"Didone hairlines vanish below ~24px and on low-DPI screens — set a minimum heading size."
Jester,"snacks, kids, entertainment, gaming","rounded or quirky display heading + rounded-sans body",rounded or quirky display,rounded sans,"playful, energetic, fun","Rounded and quirky faces carry warmth and play, matching a fun-first promise.",medium,"Novelty display faces date quickly and can undercut trust."
Creator,"design tools, studios, makers, agencies","distinctive display heading + clean grotesque body",distinctive display,clean grotesque workhorse,"expressive, crafted, original","A distinctive display face signals craft and originality; a neutral workhorse keeps it usable.",medium,"Distinctive display risks legibility — always pair with a neutral body workhorse."
Explorer,"outdoor, travel, adventure, automotive","condensed or slab heading + humanist-sans body",condensed or slab,humanist sans,"rugged, candid, in-motion","Slab and condensed weights read as sturdy and outdoorsy.",medium,"Slab at body size feels heavy; reserve it for headings."
Innocent,"organics, family, baby, wellness","rounded humanist-sans heading + humanist-sans body",rounded humanist sans,humanist sans,"warm, simple, honest","Soft, simple sans pairings read as wholesome and unintimidating.",medium,"Over-soft faces can undercut credibility for higher-consideration purchases."
