Concern,Keywords,Applies To,Recommended Pattern,Hardening,Anti-Patterns,Docs URL
Pagination,collection list large dataset paging,REST any scale,"Cursor-based pagination for unbounded/ordered feeds; offset only for small, stable admin tables",Cursor token opaque + signed; include next/prev links (RFC 8288); cap page size server-side,Offset pagination on hot tables (deep-offset scans); exposing raw DB ids as cursors,https://www.rfc-editor.org/rfc/rfc8288
Versioning,breaking change version v1 v2 deprecate,public REST API,URI major version (/v1/) for public APIs; additive changes within a version; sunset with Deprecation + Sunset headers,Announce ≥6 months; dual-run window; changelog per version,Header-only versioning for public consumers (invisible in logs/docs); breaking within a version,https://www.rfc-editor.org/rfc/rfc8594
Error shape,error response problem detail validation message,any HTTP API,"RFC 9457 application/problem+json: type, title, status, detail, instance + per-field errors array",Stable machine-readable type URIs; correlation id; never leak stack traces,Bare string bodies; 200-with-error-flag envelopes; localized-only messages,https://www.rfc-editor.org/rfc/rfc9457
Idempotency,retry duplicate POST payment create network timeout,mutating endpoints,Idempotency-Key header on POST money/resource creation; store key→result with TTL; replay returns first result,Scope keys per principal; 409 on key reuse with different payload,Relying on client dedupe; making POST 'safe' by chance,https://datatracker.ietf.org/doc/draft-ietf-httpapi-idempotency-key-header/
Filtering & sorting,filter query search sort fields sparse,collection endpoints,Explicit allowlisted filter/sort params; document operators; reject unknown params with 400 problem+json,Index-backed filters only; combine with cursor pagination,Free-form q= passed to the DB; sort on unindexed columns,https://www.rfc-editor.org/rfc/rfc9110
Partial update,update patch put field subset,resource endpoints,PATCH with JSON Merge Patch (RFC 7396) for flat resources; full PUT for replace semantics; ETag + If-Match for lost-update protection,412 on stale ETag; document null-vs-absent semantics,PUT that silently merges; PATCH without concurrency control,https://www.rfc-editor.org/rfc/rfc7396
Async operations,long running job export import 202 status polling,operations >2s,"202 Accepted + operation resource (/operations/{id}) with status, progress, result link; optional webhook on completion",Operation resource is GET-pollable + cacheable; include Retry-After,Holding the connection open; 200 with 'check back later' prose,https://www.rfc-editor.org/rfc/rfc9110#status.202
Rate limiting,throttle quota 429 rate limit headers,public/partner APIs,429 + RateLimit headers (limit/remaining/reset); per-principal buckets; document burst vs sustained,Distinguish per-IP (anon) vs per-key (auth); Retry-After on 429,Silent throttling; global single bucket; HTML error bodies,https://datatracker.ietf.org/doc/draft-ietf-httpapi-ratelimit-headers/
Bulk operations,bulk batch many items import,write-heavy integrations,Dedicated /batch endpoint with per-item status array (multi-status semantics); cap batch size; idempotency key per batch,"Partial success is explicit per item, never all-or-nothing-by-accident",Looping client calls as the documented path; unbounded batch size,https://www.rfc-editor.org/rfc/rfc9110
Resource naming,naming url path nouns plural kebab,any REST API,"Plural nouns, kebab-case paths, no verbs in URIs (verbs live in HTTP methods or POST /resource/{id}/actions for true RPC)",Stable ids in paths; relationship via sub-resources one level deep,Deep nesting >2 levels; mixed singular/plural; camelCase paths,https://www.rfc-editor.org/rfc/rfc9110
Field selection & expansion,sparse fieldsets include expand embed n+1,read-heavy APIs,Explicit ?fields= allowlist and ?include= for relationships with a documented max depth,Defaults stay lean; expansion costs documented; guard with per-include query budget,Auto-embedding everything; client-driven unbounded expansion,https://jsonapi.org/format/#fetching-sparse-fieldsets
Webhook delivery,webhook callback event delivery retry signature,outbound events,"Signed payloads (HMAC + timestamp), exponential backoff retries with dead-letter, event id for consumer idempotency",Document signature scheme + rotation; include event type registry,Fire-and-forget delivery; unsigned payloads; retrying forever,https://www.rfc-editor.org/rfc/rfc2104
