Archetype,Core Desire,Goal,Voice Traits,Messaging Angle,Visual Cues,Color Direction,Typography Filter,Best For,Avoid When
Innocent,Safety and simple happiness,Be good and be happy,"Optimistic, honest, plain, warm","Purity, simplicity, doing it right","Clean layouts, open space, soft edges","Light pastels, white, sky blue","Rounded humanist sans","Wellness, organics, family, baby","Cynical or edgy markets that read the optimism as naive"
Sage,Truth and understanding,Use intelligence to understand the world,"Authoritative, measured, evidence-led, calm","Expertise, insight, clarity","Structured grids, editorial restraint","Deep blue, navy, muted neutrals","Transitional or old-style serif with a neutral sans","Research, education, consultancy, journalism","Impulse retail where analysis reads as cold"
Explorer,Freedom and discovery,"Experience a more authentic, fuller life","Adventurous, rugged, candid, independent","Discovery, autonomy, the open road","Wide landscapes, motion, texture","Earthy tones, forest green, ochre","Condensed sans or slab","Outdoor, travel, adventure, automotive","Formal corporate services that need polish over grit"
Outlaw,Liberation and rule-breaking,Overturn what is not working,"Bold, disruptive, irreverent, raw","Rebellion, change, challenging the default","High contrast, raw composition","Black, red, charcoal","Heavy grotesque or brutalist display","Challenger brands, streetwear, counterculture","Trust-critical sectors like finance or healthcare"
Magician,Transformation,Make dreams come true,"Visionary, evocative, confident","Transformation, wonder, the impossible made real","Gradients, depth, controlled light","Violet, indigo, iridescent accents","Elegant geometric sans with a display face","Tech, beauty, immersive experiences","Utilitarian, low-cost positioning"
Hero,Mastery and courage,Prove worth through bold action,"Bold, direct, motivating","Triumph, performance, rising to the challenge","Dynamic angles, strong contrast","Bold primary, red, black","Strong grotesque, italic display accent","Sports, performance gear, defense","Gentle or nurturing categories"
Lover,Intimacy and belonging,Be in a relationship and feel connection,"Sensual, warm, expressive","Desire, closeness, indulgence","Rich texture, soft directional light","Deep red, rose, warm neutrals","High-contrast serif with a script accent","Beauty, fashion, hospitality, fragrance","Technical B2B utility where warmth reads as fluff"
Jester,Enjoyment and play,Have a great time and lighten the world,"Playful, witty, irreverent","Fun, spontaneity, not taking it too seriously","Bright, bouncy, expressive shapes","Bright multi-hue, yellow, orange","Rounded display or quirky sans","Snacks, entertainment, kids, gaming","Sectors that require gravitas and authority"
Everyman,Belonging and connection,Connect with others as equals,"Friendly, plain-spoken, inclusive","Relatability, fairness, everyday value","Approachable, candid imagery","Denim blue, warm neutral, earthy tones","Humanist sans, neutral weights","Mass retail, community, FMCG","Luxury or exclusive positioning"
Caregiver,Protection and service,Care for and protect others,"Warm, reassuring, supportive","Care, safety, being looked after","Soft forms, human imagery, gentle light","Soft blue, teal, warm white","Humanist sans or a soft serif","Healthcare, childcare, nonprofit","Edgy or aggressively competitive positioning"
Ruler,"Control, order and prosperity",Create order and lasting prosperity,"Authoritative, polished, assured","Leadership, excellence, the standard others follow","Refined symmetry, premium materials","Deep navy, gold, black","Classic serif (Didone or old-style) with a refined sans","Luxury, finance, law, institutions","Playful or budget mass-market positioning"
Creator,Self-expression and lasting value,Realize a vision and craft something enduring,"Expressive, imaginative, precise","Craft, originality, the made thing","Bold composition, generous grid","Expressive accent on neutral or monochrome ground","Distinctive display with a clean grotesque workhorse","Design tools, studios, makers, agencies","Sectors where trust comes from conformity, not originality"
