Logo Style,Description,Industry Fit,Construction,Scalability Note,Vector Requirement,Avoid When,Archetype Fit
Wordmark/Logotype,A logo consisting entirely of a stylized company name set in a custom or chosen typeface.,Tech startups; fashion; media; SaaS,Custom letterforms on a baseline grid; tight tracking; optical kerning adjustments,Readable down to ~16px if typeface is clean; collapses to favicon initial at very small sizes,Must be SVG <path> outlines so any renderer can scale without font-dependency or raster blur,Brand name is long or hard to pronounce; international markets require localized scripts,Ruler
Lettermark/Monogram,"One to three initials treated as a standalone graphic mark, often with custom ligatures.",Law firms; finance; luxury; consulting,Two or three letterforms composed on a shared grid; ligatures optically balanced,Excellent at small sizes - single glyph reads instantly as favicon or app icon,True vector required; raster versions pixelate at retina densities and lose ligature crispness,Company name is already short and memorable enough to stand alone as a wordmark,Ruler
Brandmark/Pictorial symbol,"A recognizable real-world object or icon used as the sole brand identifier, no text.",Consumer tech; sports; retail; food and beverage,Simplified silhouette reduced to essential contours; built on a geometric skeleton,Scales from billboard to 16px favicon cleanly when unnecessary detail is removed at design time,SVG <path> is mandatory; any bitmap detail renders as mud at small icon sizes,Brand is unknown - pictorial marks require years of recognition before standing alone,Explorer
Abstract mark,A non-representational geometric form that conveys brand values through shape and color.,B2B technology; consulting; financial services; biotech,Constructed from geometric primitives on a strict grid; proportions derived from golden ratio or modular scale,Highly scalable as it contains no fine detail; works as app icon with no modification,Vector <path> essential; abstract marks are precision objects and raster blurs their mathematical edges,Brand needs immediate intuitive communication of a product category to new audiences,Magician
Combination mark,A wordmark and symbol presented together as a single lockup with defined clear-space rules.,Most industry sectors - the most versatile logo format,Symbol placed left of or above the wordmark; aligned on a shared baseline; proportional size ratio defined in brand guide,Can separate into symbol-only or wordmark-only responsive variants for small placements,Each element must be a separate SVG layer so the lockup can be split for responsive use without raster degradation,Space is extremely constrained and only one mark variant will ever be used,Everyman
Emblem/Badge,"The name and a symbol are enclosed inside a containing shape such as a shield, circle, or crest.",Breweries; universities; sports teams; heritage brands; automotive,Outer shape contains arranged type arcs and central device; letterpress-era inspired construction,Loses fine interior detail below 48px; a simplified badge variant is typically required for favicon use,Vector is critical - the interior complexity of badge elements becomes unrecognizable in raster at small sizes,Digital-first products that appear primarily as small icons or in dense UI environments,Caregiver
Mascot,"A character - illustrated figure or creature - that acts as brand spokesperson and logo element.",Food and beverage; sports; children's brands; gaming; insurance,Character illustration with defined poses; color palette limited for reproduction consistency; brand guide covers expression library,Cannot scale to favicon; a separate abstract or initial-based icon is always required alongside it,Vector illustration preferred for scalability; raster mascots are acceptable only if minimum-size usage is strictly avoided,B2B enterprise; legal; medical; financial sectors where authority and trust must read instantly,Jester
Geometric/Modular mark,A mark constructed from repeated or interlocking geometric modules - squares; circles; triangles.,Architecture; engineering; data; fintech; design agencies,Grid-based modules locked to precise intervals; negative space between modules is part of the design intent,Scales cleanly because the building blocks are simple; modules may merge into a solid shape at very small sizes,SVG paths must encode each module as a closed shape so module colors and spacing remain editable and renderer-agnostic,Brands that need warmth or organic character; hospitality or wellness sectors,Creator
Negative-space mark,"A mark where a hidden secondary image is revealed in the space between or within primary shapes.",Design-forward brands; food; retail; clever challenger brands,Two overlapping or adjacent positive shapes engineered so the gap forms a recognizable third image,Can be fragile at small sizes if the negative-space detail disappears; test at 24px before approving,Vector mandatory - raster anti-aliasing destroys the sharp edge contrast on which the illusion depends,Audiences who will encounter the mark only at small digital sizes and never in print or large-format,Outlaw
Gradient/3D mark,"A mark that uses color gradients, shadows, or dimensional rendering to suggest depth or light.",Consumer apps; entertainment; gaming; lifestyle tech,Gradient mesh or linear/radial gradient applied over a vector base form; highlight and shadow layers stacked,Degrades to flat color at small sizes; a flat fallback variant is required in brand guidelines,Base shape must be SVG <path>; gradient appearance is a style layer - the structural mark must work without it,Embossing; foil stamping; or single-color print contexts where gradients cannot reproduce,Lover
Dynamic/Responsive mark,A mark system with defined variants that adapt layout or complexity to available space or context.,Large digital platforms; media networks; enterprise software suites,Core symbol plus rules for 3-4 variants ranging from full lockup to icon-only; grid defines reduction breakpoints,Purpose-built for small sizes - the icon variant is the small-size solution by design,Each variant must be a separate SVG file with <path> elements; automated raster export from each variant covers all densities,Small organizations without resources to maintain a multi-variant system consistently,Sage
Typographic/Custom-type mark,"A logotype where the letterforms are uniquely drawn or heavily modified to be a proprietary typeface.",Premium consumer brands; fashion houses; editorial media; cultural institutions,Letters drawn from scratch or derived from an existing typeface then heavily modified; each glyph refined for optical balance,Works at most sizes if letterforms are open and not overly decorative; condensed custom cuts can collapse at favicon scale,Outlines must be expanded to SVG <path> curves so the mark is independent of any font file and renders identically everywhere,Brands requiring frequent name updates or localization into non-Latin scripts,Creator
