Framework,Purpose,Structure,When to Use,Example Skeleton,Strengths,Risks,Archetype Fit
Positioning Statement (Moore),Define a brand's market position in one sentence,For [audience] / who [need] / our [product] is [category] / that [key benefit] / unlike [competitor],Launching a product or entering a new market,"For [busy professionals] who [need to stay focused], [AppX] is a [productivity tool] that [blocks distractions] unlike [generic timers]",Forces clarity on differentiation; aligns teams,Can sound corporate if overused externally,Ruler
Value Proposition Canvas,Map product value to customer jobs and pains,Customer Profile (jobs/pains/gains) + Value Map (products/pain-relievers/gain-creators),Early product-market fit work or repositioning,"We help [segment] do [job] by [feature], relieving [pain] and creating [gain]",Rooted in customer evidence; exposes gaps,Requires real research; risk of feature-focus over story,Caregiver
Message House,Organize all brand claims into a coherent hierarchy,Roof (headline claim) + 3-4 Pillars (supporting proofs) + Foundation (brand purpose/values),Multi-audience comms planning; keeping teams on-message,"[Headline]: [Brand] makes [promise]. Pillar 1: [proof A]. Pillar 2: [proof B]. Foundation: [mission]",Scalable; easy to QA comms against; good for large orgs,Can become bureaucratic; pillars may feel disconnected,Ruler
Brand Pyramid / Brand Key,Articulate a brand from functional to emotional to essence,Root strengths + Benefits (functional/emotional) + Discriminator + Values + Personality + Essence,Brand identity work or refreshes,"Root: [quality ingredient]. Functional: [lasts longer]. Emotional: [confidence]. Essence: [be unstoppable]",Holistic view from product to soul; widely understood,Essence can be vague; pyramid hides tensions,Hero
Golden Circle (Sinek),Lead with purpose to inspire loyalty,Why (belief/purpose) / How (differentiating process) / What (product/service),Purpose-driven brand strategy or culture alignment,"Why: [We believe X]. How: [We do Y differently]. What: [Our product is Z]",Memorable; emotionally resonant; great for culture decks,Hard to operationalize; WHY can feel generic,Explorer
StoryBrand (Miller),Cast customer as hero to clarify brand narrative,Hero / Problem (external-internal-philosophical) / Guide / Plan / Call to action / Success / Failure,Website copy; campaign messaging; sales narratives,"[Customer] wants [goal] but faces [problem]. [Brand] as guide offers [plan]. Result: [success] vs [failure]",Customer-centric; drives conversion; clear CTA structure,Overused; can oversimplify complex B2B sales,Caregiver
Jobs-to-be-Done Message,Frame value around the functional or social job a customer hires the product for,Job statement + Struggling moment + Desired outcome + Competing solution,Innovation briefs; ad copy rooted in usage context,"When [situation], I want to [motivation], so I can [expected outcome], instead of [alternative]",Avoids feature-speak; grounded in real behavior,Requires deep customer interviews to get right,Everyman
Feature-Benefit-Value Ladder,Connect product specs to emotional value step by step,Feature -> Functional Benefit -> Emotional Benefit -> Value/Identity,Sales enablement; product marketing copywriting,"Feature: [256GB storage]. Benefit: [store everything]. Emotional: [never delete a memory]. Value: [you are organized]",Bridges engineering and marketing language,Risk of shallow laddering; emotional end may ring false,any
Tagline / Slogan,Capture brand essence in a single memorable phrase,Core concept (distilled) + Verbal hook + Rhythm or sound,Brand identity; campaign anchor; awareness advertising,"[Brand] - [short punchy phrase that captures the essence], e.g. 'Do more. Worry less.'",Iconic if done well; highly portable across channels,Hard to create; risks being generic or dated quickly,Jester
Elevator Pitch,Explain a brand or product in under 60 seconds to any audience,Hook + What it is + Who it's for + Key benefit + Call to action,"Speed networking; investor meetings; sales openers; onboarding new hires","We built [product] for [audience] who [need]. It [key benefit] so you can [outcome]. Want to [CTA]?",Versatile; forces brevity; tests clarity of core message,Can feel rushed; hard to adapt for different audiences,Everyman
Brand Manifesto,State a brand's beliefs and rallying cry in long-form prose,Belief statements + Enemy (what we fight against) + Community invitation + Future vision,Brand launch; culture alignment; PR and content marketing,"[Brand] believes [belief]. The world needs [change]. We fight [enemy]. Join us [CTA].",Inspiring internally and externally; earns media attention,Easy to make grandiose; must be authentic to survive scrutiny,Outlaw
Pillar-and-Proof,Anchor claims on verifiable evidence to build credibility,3-5 Messaging Pillars (claims) + Supporting Proof Points (data/stories/testimonials) per pillar,Analyst relations; enterprise sales; thought leadership,"Pillar: [We are the most reliable]. Proof 1: [99.99% uptime SLA]. Proof 2: [G2 leader 2024]. Proof 3: [case study].",Credible and audit-able; reduces buyer risk,Proof can become stale; over-reliance on data dulls emotion,Sage
