Tone Context,Voice Trait,Do,Don't,Example Copy,Avoid Copy,Archetype Fit,Channel
Error/failure messages,Honest and calm,Name the problem plainly and give a next step,Blame the user or use vague technical jargon,"Something went wrong saving your file. Try again or contact support.","Error 503: upstream dependency failure. Please retry.",Everyman,product UI
Onboarding/welcome,Warm and encouraging,Celebrate the first step and point forward,Overwhelm with feature lists,"Welcome aboard - your first project is ready. Let's build something great.","Congratulations on registering. Please complete steps 1 through 7 below.",Innocent,email
Marketing hero copy,Bold and aspirational,Lead with the transformation the user gains,List features before benefits,"Ship faster. Break nothing. Sleep well.","Our platform offers CI/CD pipelines with 99.9% uptime SLAs.",Hero,web
Legal/compliance notices,Precise and neutral,Use plain language and state obligations clearly,Add marketing spin or minimize importance,"By continuing you agree to our Terms of Service and Privacy Policy.","Just a quick heads-up about some legal stuff you probably know already!",Ruler,product UI
Support replies,Empathetic and direct,Acknowledge the frustration then solve it,Start with a scripted sorry-for-the-inconvenience opener,"That sounds frustrating. Here is exactly what to do to fix it.","We apologize for any inconvenience this may have caused you today.",Caregiver,support
Success/celebration,Genuine and brief,Mark the win without overstating it,Use hollow superlatives or excessive punctuation,"Done. Your report is ready to download.","AMAZING!!! You just completed the workflow - you are a total rockstar!!!",Jester,product UI
Empty states,Inviting and actionable,Show possibility and offer a clear first action,Leave the user stranded with a generic no-data message,"No events yet. Create your first one and it will show up here.","There is nothing to display at this time.",Explorer,product UI
Pricing/upgrade prompts,Confident and value-led,Anchor on the outcome the upgrade unlocks,Use fear-of-missing-out or countdown pressure,"Unlock team collaboration and ship reviews twice as fast.","Hurry - upgrade now before your trial expires in 24 hours!",Ruler,web
Release notes,Clear and specific,Describe what changed and why it matters to the user,Pad with buzzwords or bury breaking changes,"Exports now run in the background so you can keep working while they finish.","We are excited to announce a paradigm-shifting update to our export subsystem.",Sage,email
Social posts,Playful and human,Share a genuine insight or moment with a light touch,Broadcast marketing copy as if it were conversation,"Turns out the hardest part of a great demo is the 3 AM prep. Worth it.","Discover how our industry-leading solution drives ROI for teams like yours.",Jester,social
Apology/incident,Accountable and specific,Own the failure with facts and state the fix and timeline,Use passive voice or hedge with corporate non-apologies,"We had an outage from 14:02 to 15:47 UTC. Here is what happened and what we changed.","Some users may have experienced service degradation due to unforeseen circumstances.",Everyman,email
CTA buttons,Action-focused and specific,Use a verb that names the exact outcome of the click,Use vague filler words like Submit or Click Here,Start free trial,Submit,Creator,web
