Pattern,Description,Construction,Examples,Strengths,Risks,Trademark Risk,Best For
Descriptive,States directly what the product or service does.,Combine category noun with modifier or action verb.,"A name meaning 'fast delivery service'; 'online book store'; 'home cleaning app'",Immediately clear; easy SEO; no explanation needed,Generic; hard to protect; limited expansion room,High - describes goods/services directly,Utility brands; Everyman archetype; price-competitive categories
Suggestive/Evocative,Hints at a benefit or quality without stating it literally.,Choose a word that implies a key attribute through connotation.,"A word evoking speed for a courier; a word evoking clarity for an analytics tool; a word evoking warmth for a care service",Distinctive yet meaningful; easier trademark; memorable,Requires inference; meaning can drift across cultures,Medium - implies but does not describe,Hero and Sage archetypes; premium positioning; brands needing aspiration
Coined/Invented,A made-up word with no prior dictionary meaning.,Combine phoneme clusters for desired sound symbolism.,"A two-syllable coined word ending in a vowel; a short sharp invented term; a soft-sounding neologism for a wellness brand",Highly protectable; globally portable; no baggage,Requires heavy investment to build meaning; hard to spell first time,Low - no prior use in any category,Magician and Creator archetypes; global tech brands; categories crossing language borders
Compound,Two existing words fused or joined to create a new whole.,Concatenate or hyphenate two meaningful words.,"A word combining 'open' and 'road' for a travel brand; 'bright' and 'path' for an education platform; 'stone' and 'mark' for a heritage brand",Inherits meaning from both parts; recognisable; moderately protectable,Can feel literal; one half may dominate meaning; long character count,Medium - depends on component words,Explorer and Ruler archetypes; platforms; brands wanting dual positioning
Acronym/Initialism,Letters from a longer name or phrase form a short memorable string.,Take initials of a descriptive phrase or mission statement.,"Three-letter initialism of a professional association name; four-letter acronym of a corporate mission phrase; initialised product suite name",Short and type-friendly; easy recall once established,Meaningless without context; hard to emote; many combinations taken,Medium - short strings often already registered,B2B and institutional brands; Ruler archetype; technical standards bodies
Founder/Eponymous,Named after a person - typically a founder or key figure.,Use surname alone or combined with a category word.,"A brand bearing its founder's surname; a consultancy named 'Hartmann and Partners'; a fashion house named after its designer",Immediate credibility and accountability; strong heritage story,Tied to one person's reputation; hard to sell or rebrand,Medium - personal names generally registrable if not already famous,Caregiver and Sage archetypes; luxury goods; professional services; craft brands
Geographic,References a real or evocative place name to anchor identity.,Use a place name - literal or metaphorical - as brand anchor.,"A brand named after a mountain range evoking ruggedness; a coastal city name for a seafood brand; a regional valley name for a wine",Instant sense of origin and character; tourism synergy,Geographically limiting; locals may not find it exotic; registration can conflict,High - place names often unregistrable alone,Explorer and Innocent archetypes; food and beverage; artisan and heritage brands
Metaphor,Borrows a concept from an unrelated domain to transfer its qualities.,Identify a quality you want then find an unrelated noun that embodies it.,"An animal name chosen for agility; a natural phenomenon chosen for energy; a mythological figure chosen for wisdom",Rich meaning transfer; emotionally resonant; distinctive,Metaphor may not translate culturally; overused domains (animals) feel tired,Low to Medium - depends on prior use in category,Magician and Hero archetypes; challenger brands; brands with a single dominant value
Real-word/Borrowed,Adopts an existing common word reframed in a new context.,Take a dictionary word and apply it to an unrelated product category.,"An everyday word meaning 'apple' used for a technology brand; a word for a natural element used for a software tool; a colour word used for a financial service",Familiar phonetics; easy to say and spell; memorable,Descriptive objection risk in some categories; word may carry unwanted associations,High - common words are hard to protect without distinctiveness,Outlaw and Jester archetypes; consumer tech; lifestyle brands wanting approachability
Portmanteau,Blends parts of two words into one new word.,Merge the start of one word with the end (or middle) of another.,"A blend of 'motor' and 'hotel' for roadside lodging; a blend of 'breakfast' and 'lunch' for a meal occasion; a blend of 'web' and 'seminar' for online events",Compact; clever; instantly suggests both source concepts,Feels gimmicky if forced; may read as misspelling; limited language export,Low to Medium - blended words are often distinctive,Creator and Jester archetypes; new category creators; consumer apps
Spelling-variant,Alters the conventional spelling of a word to gain trademark distinctiveness.,Substitute a letter or phoneme - often k for c - or remove a vowel.,"A word spelled with 'k' instead of 'c' for a cool brand; a vowel-dropped version of a common adjective; a deliberate double-letter variant",Distinctive enough to register; keeps phonetic recognition; social-handle availability,Confusing in print; perceived as cheap or gimmicky; SEO split,Low - altered spelling is usually registrable,Outlaw and Jester archetypes; youth and lifestyle brands; tech startups needing available domains
Abstract,Uses a word or number with no semantic link to the product category.,Choose a word or symbol purely for sound or aesthetic qualities.,"A short word meaning something in one language but chosen for its sound in another; a single digit or numeral as a brand name; a colour name used with no colour product",Highly flexible; no limiting associations; protectable,No built-in meaning cues; expensive to build associations; audience must be told what it is,Low - no descriptive link so strong registrability,Ruler and Magician archetypes; holding companies; brands that will extend across many categories
